search_number cluster search_epoch_program_id last_epoch_mjd search_epoch_mjd effective_cadence reddest_filter limiting_mag_5sigma_ab note
30 MACSJ0717 13459 55904 56656 752 F140W 26.9 GLASS-CLASH
43 MACSJ1423 13459 56363 56698 335 F140W 26.9 GLASS-CLASH
31 MACSJ0717 13459 56656 56707 51 F140W 26.9 GLASS-(CLASH+GLASS)
39 MACSJ1149 13459 56598 56713 115 F140W 26.9 GLASS-CLASH
44 MACSJ1423 13459 56698 56762 64 F140W 26.9 GLASS-(CLASH+GLASS)
51 RXJ2248 13459 56235 56804 569 F140W 26.9 GLASS-CLASH
46 MACSJ2129 13459 55776 56806 1030 F140W 26.9 GLASS-CLASH
49 RXJ1347 13459 55756 56808 1052 F140W 26.9 GLASS-CLASH
52 RXJ2248 13459 56804 56878 74 F140W 26.9 GLASS-(GLASS+CLASH)
47 MACSJ2129 13459 56806 56884 78 F140W 26.9 GLASS-(GLASS+CLASH)
20 Abell2744 13459 56624 56893 269 F140W 26.9 GLASS-HFF
35 MACSJ0744 13459 55924 56934 1010 F140W 26.9 GLASS-CLASH
21 Abell2744 13459 56893 56955 62 F140W 26.9 GLASS-(HFF+GLASS)
22 Abell370 13459 55102 56959 1857 F140W 26.9 GLASS-archive
27 MACSJ0416 13459 56901 56991 90 F140W 26.9 GLASS-HFF
23 Abell370 13459 56959 57003 44 F140W 26.9 GLASS-(archive+GLASS)
36 MACSJ0744 13459 56934 57030 96 F140W 26.9 GLASS-(CLASH+GLASS)
28 MACSJ0416 13459 56991 57040 49 F140W 26.9 GLASS-(HFF+GLASS)
