days "AB magnitudes"
1.60625 34.8322783811
1.62125 34.7605612529
1.63625 34.9352179783
1.65125 34.9300838606
1.66625 34.9390272382
1.68125 34.8337956816
1.69625 34.8368356944
1.71125 34.8170975052
1.72625 34.7891253171
1.74135416667 34.7779636226
1.75635416667 34.7659700656
1.77125 34.7502229135
1.78625 34.7300106241
1.80125 34.7014633549
1.81635416667 34.6735145154
1.83135416667 34.6663017065
1.84635416667 34.6449219404
1.86135416667 34.6110847862
1.87625 34.5685057381
1.89145833333 34.5448427823
1.90625 34.540200449
1.92135416667 34.5075931046
1.93635416667 34.4773588091
1.95135416667 34.4751566354
1.96635416667 34.4484392448
1.98125 34.4197120195
1.99635416667 34.4124219921
2.01135416667 34.3852354487
2.02635416667 34.3848363411
2.04145833333 34.3531560948
2.05635416667 34.3489021351
2.07135416667 34.3132498545
2.08635416667 34.3065191403
2.10135416667 34.266677647
2.11635416667 34.2657021706
2.13125 34.2183655184
2.14635416667 34.2175357936
2.16145833333 34.1677096541
2.17635416667 34.1697621996
2.19145833333 34.1812435694
2.20645833333 34.1170849276
2.22125 34.1150997033
2.23625 34.0738106296
2.25125 34.0736917703
2.26635416667 34.0832950599
2.28125 34.0354131679
2.29635416667 34.0343729714
2.31135416667 34.037263165
2.32625 33.9996551568
2.34125 33.9939718095
2.35625 34.0108677593
2.44260416667 33.9315165736
2.531875 33.9028414902
2.62458333333 33.8702328056
2.720625 33.8340270135
2.8203125 33.7692447373
2.92364583333 33.755540401
3.03052083333 33.7160966654
3.1415625 33.6510688245
3.25645833333 33.6288366412
3.37572916667 33.550904635
3.49958333333 33.5437342892
3.62739583333 33.4795157748
3.76072916667 33.4531938545
3.89770833333 33.4184694233
4.040625 33.3616849596
4.18854166667 33.3033454961
4.34239583333 33.23761404
4.50083333333 33.2269343901
4.665625 33.1803958315
4.83614583333 33.1302204688
5.01302083333 33.0801014607
5.1965625 33.0284213574
5.3871875 32.9867773441
5.58427083333 32.947859997
5.78854166667 32.920147901
6.00052083333 32.886465799
6.2203125 32.8542300189
6.44791666667 32.8198685322
6.68354166667 32.792320871
6.92822916667 32.7661176984
7.18208333333 32.7345743491
7.4446875 32.7182437966
7.71708333333 32.6987342266
8.0 32.6960455177
8.29291666667 32.6902793806
8.59635416667 32.6844980164
8.91104166667 32.6865732633
9.23770833333 32.7407005914
9.57583333333 32.7280002695
9.92625 32.7088662745
10.2888541667 32.7028620978
10.665625 32.6952315512
11.05625 32.6750547631
11.4604166667 32.6588170703
11.8802083333 32.6511380718
12.3260416667 32.6354172353
12.775 32.615309533
13.2364583333 32.6075498214
13.721875 32.6129856738
14.2197916667 32.6184195965
14.7427083333 32.6332993149
15.2895833333 32.6478944063
15.85 32.6717817127
16.4229166667 32.6799998514
17.0208333333 32.6832088679
17.64375 32.7064683821
