days "AB magnitudes"
51.1701388889 28.5275229345
51.1840277778 28.5123000513
51.2013888889 28.5560676807
51.2175925926 28.5335047777
51.2337962963 28.5872034685
51.2523148148 28.6232934299
51.2685185185 28.6806995391
51.2858796296 28.7564328566
51.3009259259 28.8098059443
51.3171296296 28.8573115971
51.3356481481 28.9089611887
51.3506944444 28.9366367986
51.369212963 28.9369614143
51.3854166667 28.9418976968
51.4016203704 28.9763695828
51.4189814815 28.978600913
51.4340277778 28.9912833082
51.4513888889 29.0263745884
51.46875 29.0311392365
51.4837962963 29.0528359605
51.5023148148 29.0779805304
51.5173611111 29.1121869653
51.5347222222 29.1785908573
51.5532407407 29.2410525241
51.5671296296 29.295217509
51.5844907407 29.3462721656
51.6018518519 29.3912428694
51.619212963 29.3686484581
51.6342592593 29.3845696208
51.6516203704 29.3325319114
51.6689814815 29.4302296498
51.6840277778 29.5852416625
51.7037037037 29.6546713909
51.71875 29.8035257746
51.7349537037 29.912222997
51.7511574074 30.0092173734
51.7685185185 30.105811206
51.7858796296 30.1820047939
51.8020833333 30.2579796394
51.818287037 30.3364743014
51.8368055556 30.3709142766
51.8541666667 30.3946998252
51.869212963 30.4338436698
51.8842592593 30.4592364946
51.9027777778 30.4621178813
51.9189814815 30.4745020474
51.9363425926 30.5620867411
51.9525462963 30.6114653732
51.9699074074 30.6481440943
51.9861111111 30.6865440953
52.0046296296 30.7447487372
53.1053240741 30.0558444046
54.2372685185 30.514404731
55.3842592593 30.5937617269
56.5601851852 30.4776912359
57.7615740741 30.4731555955
58.9872685185 30.423553989
60.2395833333 30.3869513869
61.5185185185 30.3310082605
62.8240740741 30.3293800793
64.15625 30.3680881404
65.5196759259 30.3199085795
66.9108796296 30.3012891317
68.3321759259 30.3261614566
69.7800925926 30.2789045635
71.2615740741 30.3209421395
72.775462963 30.3333530598
74.3240740741 30.3584791124
75.900462963 30.3363130904
77.5115740741 30.2860978015
79.1574074074 30.345425891
80.8368055556 30.351431101
82.5543981481 30.3562823763
84.3043981481 30.3957044617
86.0914351852 30.3548062217
87.9224537037 30.3570431752
89.7905092593 30.3756694872
91.6956018519 30.3549035667
93.6388888889 30.3620090106
95.6273148148 30.3691282824
97.6597222222 30.3757444985
99.9583333333 30.4100631671
101.849537037 30.4016328143
104.012731481 30.362328295
106.219907407 30.3824951261
108.472222222 30.3976644768
110.774305556 30.3858588355
113.127314815 30.4278501075
115.53125 30.4263318824
117.974537037 30.438575086
120.497685185 30.5085882655
123.043981481 30.5541656472
125.659722222 30.5276907837
128.333333333 30.5405392281
131.053240741 30.523492342
133.831018519 30.5501860572
136.666666667 30.5363100118
139.571759259 30.6467978707
142.546296296 30.6273855294
145.555555556 30.6467001612
148.726851852 30.6810191947
151.81712963 30.7497040718
155.023148148 30.7572957215
158.356481481 30.7409974109
161.793981481 30.7583770062
165.115740741 30.7475956185
172.233796296 30.7824120856
175.902777778 30.7908231561
179.699074074 30.7720180645
183.49537037 30.7560230417
187.395833333 30.9157143974
191.30787037 30.8944305355
195.335648148 30.8866598534
199.479166667 30.9071587266
203.738425926 30.9142557336
208.113425926 30.9260414578
212.488425926 30.9202173695
216.990740741 31.054278208
221.597222222 31.0928018305
226.331018519 31.1093059841
231.180555556 31.1460473281
236.030092593 31.1829738275
241.215277778 30.9918855063
246.412037037 31.0424002217
251.585648148 31.1111280445
256.770833333 31.2414082399
262.430555556 31.3868013208
268.090277778 31.479517421
273.75 31.5250519623
279.409722222 31.6547995689
285.543981481 31.805050297
291.215277778 31.815084852
297.349537037 31.8390035278
303.958333333 31.8814043866
310.092592593 32.009792171
316.712962963 32.0279142803
323.796296296 32.1250116362
330.416666667 32.1146109011
337.5 32.2366523424
344.594907407 32.3068109327
352.152777778 32.4891909089
359.247685185 32.5955115779
367.291666667 32.7564556091
374.861111111 32.9073865308
382.893518519 33.1154149521
390.949074074 33.2599698587
398.993055556 33.4699440865
407.511574074 33.6614674805
416.50462963 34.0841517745
425.023148148 34.2911173898
434.027777778 34.5310983032
443.49537037 34.7222737862
452.962962963 34.7727801667
462.44212963 35.0305937861
472.395833333 35.3751484667
482.349537037 35.7681854437
492.303240741 36.1633565432
502.731481481 36.3836986198
513.634259259 36.7192543127
524.537037037 36.8333934206
535.451388889 36.922420055
546.840277778 37.4876839175
558.69212963 38.3004938053
570.555555556 38.5437667944
582.916666667 38.7655680551
595.243055556 39.517389317
607.55787037 40.3568902975
620.810185185 41.1373720934
634.074074074 42.4162750589
647.349537037 42.8668014453
660.625 44.3178275439
674.849537037 45.4704010875
689.074074074 47.3041370304
704.270833333 50.4785816619
718.506944444 53.5309309772
733.703703704 53.0534379858
749.861111111 53.1621175273
766.018518519 58.8406212639
782.1875 54.7115289593
798.356481481 59.7241156281
815.486111111 57.7407062897
832.615740741 57.207893227
850.706018519 60.7345524334
868.796296296 69.7381389686
886.898148148 69.9484754452
905.960648148 78.2105719443
925.023148148 105.925035252
944.085648148 139.772399893
964.12037037 118.169810345
985.104166667 106.307682153
1006.09953704 120.985019515
1027.09490741 124.152923189
1283.21759259 81.4284674896
1419.21296296 80.6831610249
1568.75 117.386422756
1718.28703704 168.273136624
1867.82407407 172.54085394
2017.47685185 176.609950432
2167.12962963 180.759809706
2316.78240741 184.87236824
2466.43518519 188.918742245
2616.2037037 192.974549042
2765.97222222 196.925994677
2915.74074074 200.835980549
3065.50925926 204.871986882
3215.39351852 208.966181656
3365.27777778 213.08084186
3472.33796296 216.026004851
