magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
1.0 87221.5936576 152160.666352 189384.827799 155224.588261 179454.5037 121710.861152 132737.145838 66258.1843435 147617.458999 164942.484771 104795.828464 168402.051296 149854.370027 40521.7585518 164412.116834 144540.021063 75596.0571188 161431.123339 150394.241354 172392.161797 151491.403834 145602.178605 95715.3554509 181419.922009 112706.254398
2.0 6129.97962638 10726.1750748 12330.4740386 24764.5652762 16704.094404 18568.8632911 24002.557789 16510.6886978 12926.5759438 29262.6268791 48008.6715394 19204.8749597 17228.353458 21074.3154413 18288.8619313 14273.6348898 13971.7570323 11659.6022285 18968.7486867 21566.5793722 14053.5296602 29122.4698894 12264.2732318 11929.1349087 27288.9525088
3.0 1681.77281484 2999.78271869 3310.01256203 9291.18422652 5195.54682649 6913.86581002 9610.78502075 7496.12503079 3954.25962796 11320.2973112 26843.7536688 6391.68177792 5830.40178171 12711.9454493 6040.89323433 4532.58977223 5545.824962 3343.3672185 6471.31154129 7487.66653481 4323.16853367 11901.4206551 4442.21191255 3248.17221898 12089.3457995
4.0 739.93250505 1345.1590668 1445.82748804 4796.73137208 2460.90601296 3575.72396265 5174.67033265 4313.07593051 1862.34799365 5907.8018062 16968.7376197 3116.68367142 2889.1866638 8467.78384907 2938.69524777 2167.32350081 2947.93666532 1531.26232629 3175.72510896 3744.80605999 2025.56728652 6417.59872115 2315.79734341 1437.15950672 6825.69683545
5.0 410.537101459 759.075877255 800.848069865 2921.31174671 1434.39310027 2188.70390616 3247.59203078 2818.26563377 1083.53423999 3609.98341163 11621.3920095 1840.67901103 1731.29941713 6030.04557875 1735.30364289 1269.24585805 1826.8984819 879.621838652 1875.77154399 2250.10305108 1169.15280977 4008.94994879 1445.72428658 804.968693827 4394.71184908
6.0 260.72254573 489.256794882 509.009009872 1966.89878451 943.913460501 1482.94087335 2237.00549705 1993.68179426 712.84250057 2430.65364479 8419.88035699 1217.81800834 1160.42667045 4503.81659745 1149.18917924 837.183985069 1244.02044931 575.639857316 1238.21644374 1507.6390274 762.718326191 2742.7838315 1003.14143455 516.604929029 3072.51633291
7.0 180.672980869 343.453899903 353.430256595 1416.19531948 671.974953272 1074.94312197 1639.93222708 1489.0051076 507.671641622 1747.43209974 6360.1023066 868.015089728 836.801676347 3486.33671376 820.361274054 596.58957653 902.69540114 409.448655337 879.774713408 1085.11126202 538.806185237 1995.94203873 745.498794926 361.758880805 2272.97048423
8.0 132.99994403 255.717554612 260.839378639 1069.69083033 505.260596707 817.46694529 1256.92435567 1156.80860173 381.960114941 1316.89052862 4961.24668648 651.893546403 635.095943391 2774.87429397 617.259969221 448.672362463 685.634189444 308.391862135 658.498512886 821.304805074 402.344475131 1518.62389039 581.143091619 268.994730048 1752.10937597
9.0 102.313445905 198.701398071 201.222158622 837.426054856 395.397672003 644.261593112 996.003969393 926.047321372 299.10896391 1028.28042164 3970.33260541 508.828520254 500.477223899 2258.39053453 482.790668902 351.016482596 538.976117919 242.093092524 512.29340213 645.169245851 312.911046156 1194.98771435 469.147093512 208.90482347 1393.53678107
10.0 81.3757594627 159.45444109 160.507540715 674.044136438 318.960291207 521.947415645 809.913271446 758.959934359 241.436725606 825.436376374 3244.2512484 409.059640948 405.876754243 1871.93800075 388.969670671 282.992734315 435.183672477 196.058297926 410.58113469 521.452328337 251.005735875 965.370288205 388.942326491 167.638946322 1135.94561968
