magnification abell383 abell1423
1.0 142663.791942 259266.260304
2.0 9971.1070632 16895.3462509
3.0 2722.64230467 4641.03456874
4.0 1193.60724702 2074.56194755
5.0 660.450281916 1172.9140366
6.0 418.555943546 758.898837605
7.0 289.570594428 535.159602193
8.0 212.887737632 400.322803789
9.0 163.601822406 312.495930635
10.0 130.017236794 251.873412494
11.0 106.070042326 208.111569023
12.0 88.3664093359 175.377784114
13.0 74.8877926212 150.176730152
14.0 64.3726646326 130.307492714
15.0 55.9995275056 114.326206438
16.0 49.2145660088 101.252383666
17.0 43.6332083645 90.4003036667
18.0 38.9814906795 81.27805402
19.0 35.0598435499 73.5248537958
20.0 31.7200104643 66.8708985275
21.0 28.8499228843 61.110913115
22.0 26.3635429801 56.0863016194
23.0 24.193891501 51.6728337681
24.0 22.2881670545 47.7719829971
25.0 20.6042683459 44.3047247053
26.0 19.1082759466 41.2070243676
27.0 17.772601959 38.4265069006
28.0 16.5746121055 35.9199650601
29.0 15.4955869289 33.6514725907
30.0 14.5199297252 31.5909391735
31.0 13.6345562505 29.7129921607
32.0 12.8284199012 27.9961028195
33.0 12.0921389471 26.4218974869
34.0 11.4177014157 24.9746099549
35.0 10.7982296092 23.6406427297
36.0 10.2277908206 22.4082129501
37.0 9.70124413216 21.2670646691
38.0 9.21411561363 20.2082335585
39.0 8.76249603238 19.2238533169
40.0 8.34295653275 18.3069954828
41.0 7.95247874856 17.4515361712
42.0 7.58839658022 16.6520446465
43.0 7.24834745275 15.9036897015
44.0 6.93023132185 15.2021606377
45.0 6.63217604504 14.5436002808
46.0 6.35250800689 13.9245479615
47.0 6.0897271022 13.3418907906
48.0 5.84248534959 12.7928218633
49.0 5.60956854244 12.2748042818
50.0 5.38988045129 11.7855400773
51.0 5.18242917797 11.3229432797
52.0 4.98631533097 10.8851165061
53.0 4.80072174794 10.4703305493
54.0 4.62490453685 10.0770065289
55.0 4.45818524483 9.70370024262
56.0 4.29994399438 9.34908840825
57.0 4.14961345194 9.01195653859
58.0 4.00667351478 8.69118822879
59.0 3.87064661939 8.38575566954
60.0 3.74109358926 8.09471122688
61.0 3.61760995178 7.81717995235
62.0 3.4998226644 7.55235290681
63.0 3.38738719844 7.29948119733
64.0 3.27998493643 7.0578706408
65.0 3.17732084466 6.82687697913
66.0 3.0791213881 6.60590158138
67.0 2.985132659 6.39438757645
68.0 2.89511869444 6.19181636709
69.0 2.80885996101 5.99770448268
70.0 2.72615198805 5.81160073313
71.0 2.6468041327 5.63308363119
72.0 2.5706384625 5.46175905437
73.0 2.49748874273 5.29725812102
74.0 2.42719951742 5.13923525834
75.0 2.35962527414 4.98736644245
76.0 2.29462968395 4.8413475932
77.0 2.23208490879 4.70089310809
78.0 2.17187096955 4.56573452166
79.0 2.11387516867 4.43561927808
80.0 2.05799156218 4.31030960599
81.0 2.00412047598 4.18958148606
82.0 1.9521680626 4.07322370229
83.0 1.90204589416 3.9610369696
84.0 1.85367058849 3.85283313049
85.0 1.80696346517 3.74843441468
86.0 1.76185022882 3.64767275602
87.0 1.71826067716 3.55038916164
88.0 1.67612843173 3.45643312884
89.0 1.63539068906 3.36566210551
90.0 1.59598799082 3.27794099043
91.0 1.55786401098 3.19314167014
92.0 1.52096535888 3.11114258918
93.0 1.4852413965 3.03182835109
94.0 1.45064406911 2.95508934768
95.0 1.41712774797 2.88082141412
96.0 1.38464908412 2.80892550799
97.0 1.35316687248 2.73930741028
98.0 1.3226419253 2.67187744667
99.0 1.29303695438 2.60655022747
100.0 1.26431646117 2.54324440494
