magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
0.0 84528.97749376 172357.40950091 186168.18588793 129839.22425202 171812.89798782 108551.04513663 115831.66876713 52814.84571525 152090.95136367 138788.94617967 168092.20856422 177956.28633543 129191.24352827 32740.44908896 151452.2683831 149475.28000948 60562.92900574 182523.20284235 142282.85631799 161528.26863201 151921.65888871 120151.40504653 54307.68592406 179399.51869337 85486.42427272
1.0 71690.9438436 124099.077821 155346.242116 126546.557979 147310.341041 100426.128423 108989.48566 53695.0179865 120493.044311 135356.588482 86451.8980474 138719.111952 123552.866538 32439.1769645 134457.087035 118026.841469 62054.7219837 132058.310099 123915.301215 139018.334701 123870.31709 118206.611586 79501.1015682 148655.041253 92718.2610856
2.0 5035.8387772 8858.99978931 10142.4197337 20422.5960864 13742.4327655 15341.9147316 19729.0177762 13607.990425 10713.2246723 24157.0743015 39054.0128894 15860.0092165 14163.4898461 17601.1957276 15115.8450812 11830.2714174 11543.373245 9627.26784341 15619.0190352 18077.9966654 11600.8782735 24073.1036194 10080.8626935 9815.72904217 22305.1990372
3.0 1382.37181461 2485.09542736 2728.41744315 7690.53253965 4285.4504895 5740.2686233 7910.45692956 6211.0850055 3290.56057106 9370.89387331 21840.4324117 5289.71097749 4801.61207881 10678.1461219 5017.03467596 3774.24454276 4599.07503532 2768.37141183 5334.90366145 6323.45440999 3579.76973767 9894.59254857 3657.54609059 2679.90980339 9896.1495174
4.0 608.597738289 1115.08912024 1193.73409663 3976.36115091 2034.08226748 2982.90091532 4264.88885538 3581.36515841 1551.74920105 4898.67461343 13841.9677002 2584.00697635 2384.7227145 7095.80810109 2447.54973566 1808.2684834 2450.70510668 1269.272277 2621.44193424 3163.47641459 1679.49375952 5347.55630512 1913.40096726 1187.9394103 5601.94940973
5.0 337.86722994 629.134259866 662.080057378 2423.20079427 1187.56109453 1833.55793911 2680.00071799 2342.25905603 903.080888354 2996.86563048 9508.09880546 1528.48599444 1432.01506923 5028.71005128 1447.97419271 1059.97434321 1521.39094729 729.413891417 1550.18486931 1897.10478737 970.005263985 3343.35252392 1198.77147806 666.282678731 3616.18000731
6.0 214.681142184 405.298653576 421.265554218 1631.85148 782.498923847 1246.91236028 1848.22058453 1657.48338025 594.050599565 2019.62006424 6908.09281409 1012.67955048 961.606900251 3735.39947244 960.15895027 699.487776839 1037.30616681 477.384964243 1024.32612801 1267.7302017 632.982483419 2287.78847841 834.48620507 428.039857157 2534.15776234
7.0 148.832742294 284.335967481 292.773108177 1174.93037743 557.638322781 906.785381129 1356.41886303 1237.94665061 422.944761475 1452.95647615 5231.22538629 722.709760392 694.542184836 2875.664716 686.072267025 498.592450535 753.41888999 339.540418431 728.432276121 909.865712518 447.206490287 1664.519115 621.925547671 299.978236603 1878.5726199
8.0 109.602163848 211.559515185 216.242793378 887.327685184 419.63577087 691.560076791 1040.70989635 961.637891797 318.098044125 1095.6053255 4089.58633905 543.39149247 527.85532733 2276.79326307 516.585630087 375.024572119 572.670455345 255.702895797 545.626098801 686.773950466 333.948248509 1265.96312897 486.008115314 223.195168019 1450.68032797
9.0 84.3411009576 164.279558912 166.932635711 694.510351929 328.607090691 546.415519213 825.484711718 769.646131388 249.005168058 855.913482807 3278.9502623 424.588379725 416.462197735 1843.86415365 404.267654101 293.422035302 450.427592809 200.696216382 424.75303525 538.100234907 259.706952154 995.669778698 393.178188384 173.421675114 1155.57862307
10.0 67.0996874923 131.746932528 133.236224663 558.869154305 265.220594217 443.680835382 671.879845835 630.617256934 200.919955857 687.364630844 2683.64205294 341.67336409 338.087540176 1521.31751135 325.842390279 236.571972287 363.843253663 162.501971508 340.608737824 433.883123893 208.31199741 803.895566318 326.553548224 139.219332119 943.227719853
11.0 54.7882386652 108.343102885 109.136841732 459.766993241 219.184748103 368.151104782 558.225650501 526.582089353 166.007276121 564.335694981 2234.24353578 281.406213875 280.687272287 1274.93095271 268.803906563 195.282660843 300.236633192 134.793768561 279.622271755 357.881015197 171.189561973 662.876821412 276.856109298 114.632544276 785.179076429
12.0 45.6750911039 90.8998510499 91.2656261978 385.113572567 184.60824979 310.899619558 471.646464383 446.625048793 139.7883713 471.777472138 1887.09549224 236.151683375 237.277710197 1082.7192875 225.943254109 164.280574776 252.109139378 113.980765104 233.964121258 300.666012749 143.45091933 556.126559638 238.625418732 96.3130958055 664.271967058
13.0 38.7289708142 77.5196123708 77.6172064403 327.443339728 157.917880477 266.399953907 404.091035047 383.795875861 119.54963198 400.382688343 1613.65134776 201.2531062 203.576995034 930.051570972 192.864725803 140.361958522 214.79461868 97.8990309883 198.860390977 256.457345955 122.14219477 473.352365309 208.467293044 82.2603135116 569.64699515
14.0 33.3045952804 67.0086935064 66.9368872963 281.943048513 136.841730775 231.078636423 350.309256105 333.493846189 103.567046206 344.145355675 1394.62467838 173.737377178 176.837379542 806.894410425 166.762069295 121.487408203 185.265070982 85.1794282976 171.265465514 221.547982255 105.392143267 407.858729941 184.175636271 71.2179611565 494.155224454
15.0 28.9812975064 58.584981913 58.4065453309 245.395417319 119.877550663 202.53955359 306.75546677 292.572499389 90.7012977875 299.049411332 1216.61558046 151.632525902 155.227421374 706.187132369 145.773947744 106.30729236 161.485300574 74.9199832276 149.161551917 193.470187857 91.9678104561 355.136952975 164.262332957 62.3641425932 432.931527254
16.0 25.4751929358 51.7181513366 51.4738371617 215.583069251 105.998610419 179.125835603 270.962808027 258.819285062 80.1740248823 262.326956272 1070.08595792 133.587766613 137.486666423 622.848010763 128.625229189 93.8986759408 142.045963505 66.5059194324 131.168384006 170.528423097 81.029385091 312.060359669 147.691601931 55.1421905115 382.57001361
17.0 22.5889624871 46.037916691 45.7546163117 190.937028562 94.4830560055 159.661129836 241.170558484 230.64060664 71.438144157 232.020044792 948.101475779 118.651929263 122.723510033 553.146651198 114.417865012 83.612458095 125.945729355 59.5058643776 116.315551779 151.5256881 71.9883643062 276.405090789 133.722895622 49.1637723174 340.627476459
18.0 20.181912998 41.279115674 40.9747768061 170.321459152 84.8108216417 143.290891298 216.093798313 206.864432172 64.0995751348 206.711976688 845.525921777 106.139040431 110.292111502 494.296329221 102.504048274 74.9809111108 112.457100129 53.6094516334 103.904390298 135.596843274 64.4220978897 246.554182157 121.81431269 44.1509902293 305.313636134
19.0 18.1514704165 37.2476315871 36.9343112822 152.897456591 76.599141455 129.381770701 194.776411704 186.612788143 57.8683048372 185.35711879 758.491420821 95.5439420963 99.7148492349 444.182546884 92.4065996399 67.6597813104 101.041071368 48.5884438469 93.4213118666 122.103614945 58.0204679835 221.308968267 111.561189616 39.9005067838 275.291903447
20.0 16.4213742817 33.7985758693 33.4843841761 138.034361559 69.5609609026 117.455972776 176.494610755 169.21718147 52.5268457256 167.170036202 684.041769944 86.4877189547 90.6319937511 401.178257184 83.767481412 61.3909199245 91.2913147852 44.2717444777 84.4817872488 110.566486523 52.5515893189 199.76551514 102.655899324 36.2606052675 249.547741242
21.0 14.9339357773 30.8219302133 30.5122948736 125.250539825 63.4773887065 107.147330948 160.692033416 154.161165434 47.9093510996 151.551436868 619.887237663 78.6814657061 82.768179979 364.015573395 76.3136148581 55.9775143393 82.8967557251 40.5288912689 76.7931811827 100.619359077 47.8391448786 181.231657199 94.8608467226 33.1161093638 227.299599155
22.0 13.6448347249 28.2328647799 27.9313698867 114.172941727 58.17901108 98.1712448401 146.935112784 141.040514706 43.887453818 138.037594861 564.232791204 71.9016643075 75.9095471791 331.695095514 69.8336500409 51.2672793239 75.6159252617 37.2588852509 70.1295192139 91.9786681628 43.7470494094 165.170070913 87.9899100976 30.3782233327 207.937364771
